"","Feature","logFC","Average.level","T_statistic","P_value","Adjusted.p_value","GeneID","chromosome"
"2919","NDUFA5",0.113087808998697,0.489567925578167,0.741648926901568,0.463349013222552,0.96556534279626,4698,"7"
"2920","AFG1L",0.0906536907667972,-1.51105336441055,0.741182555811166,0.463628032754174,0.96556534279626,246269,"6"
"2921","RAB19",-0.0653006506810564,-0.190300554576294,-0.740936176556634,0.463775475472147,0.96556534279626,401409,"7"
"2922","CNKSR2",-0.126289091835607,-2.40264817930348,-0.740690672578051,0.463922421513348,0.96556534279626,22866,"X"
"2923","CLDN1",-0.215215899672965,-1.67930496605853,-0.740198383441096,0.464217162002842,0.96556534279626,9076,"3"
"2924","DOCK10",-0.0719471495571204,-0.329694903130961,-0.739919249618706,0.464384331725471,0.96556534279626,55619,"2"
"2925","NSA2",-0.112891751405808,-1.11849357157591,-0.739684559343709,0.464524911836966,0.96556534279626,10412,"5"
"2926","BORCS6",0.0773185063882021,-0.0965467820070123,0.739611356647161,0.464568765509433,0.96556534279626,54785,"17"
"2927","UBL4A",0.0716986044839311,0.70998182692369,0.739412007040875,0.464688202433913,0.96556534279626,8266,"X"
"2928","ADAM17",-0.0839136930719659,-1.35419250147677,-0.739159000300902,0.464839812799318,0.96556534279626,6868,"2"
"2929","SS18L1",0.0888693287734332,-2.22201853782112,0.738943317156281,0.464969080260349,0.96556534279626,26039,"20"
"2930","SUSD6",0.112251202898616,-1.58930417902797,0.73876759050014,0.465074415644083,0.96556534279626,9766,"14"
"2931","PAN2",0.0828716005774983,-3.00727748458533,0.738610571141765,0.465168549079995,0.96556534279626,9924,"12"
"2932","RAB32",0.0935936400189455,-0.196139432474079,0.738075380305614,0.46548948020241,0.96556534279626,10981,"6"
"2933","TWF1",0.0633947183622103,1.90423093772026,0.737899985436806,0.46559468497461,0.96556534279626,5756,"12"
"2934","PTPN3",0.0926668163278477,-1.65583930281687,0.737655339271471,0.46574145087116,0.96556534279626,5774,"9"
"2935","COA4",0.189162672862143,-3.51517756892984,0.737637771707411,0.465751990876708,0.96556534279626,51287,"11"
"2936","PECAM1",-0.0924960669260532,0.214378952919459,-0.737424224759501,0.465880123631376,0.96556534279626,5175,"17"
"2937","CTU2",-0.0973160813660734,-1.97554642424492,-0.737004625902722,0.466131951503348,0.96556534279626,348180,"16"
"2938","HNF1A",0.13992093722989,-2.48938220899702,0.736185259816461,0.466623932508749,0.96556534279626,6927,"12"
"2939","NOL8",0.0708207521452917,-2.009702704893,0.735178367378283,0.467228923899946,0.96556534279626,55035,"9"
"2940","ATP5MK",0.100207729513076,1.93913499189772,0.734999136559064,0.467336662348679,0.96556534279626,84833,"10"
"2941","PHLDB3",-0.106733464702773,-1.57677618107109,-0.734942248316302,0.46737086176796,0.96556534279626,653583,"19"
"2942","KDM3B",0.108671633462192,-0.455141594425459,0.734764682276738,0.467477618194922,0.96556534279626,51780,"5"
"2943","GSTT2",0.307176186937776,-0.341920162719016,0.734578515420132,0.467589560768757,0.96556534279626,2953,"22"
"2944","RIN1",0.0981123953054612,-0.499569913051148,0.734387188588533,0.46770462221071,0.96556534279626,9610,"11"
"2945","UHRF2",0.0879108153376686,-1.47288461390415,0.734131629905323,0.467858337398527,0.96556534279626,115426,"9"
"2946","MCOLN1",0.264614476403379,-5.54536500933548,0.734015269587887,0.46792833628202,0.96556534279626,57192,"19"
"2947","SETX",-0.161013918460338,-2.11689967916247,-0.733180288308981,0.468430813705585,0.96556534279626,23064,"9"
"2948","IPO13",0.0668113010474028,-1.45131193263518,0.733065937379905,0.468499652412293,0.96556534279626,9670,"1"
"2949","LPCAT3",-0.0611604288756935,1.86255966480058,-0.732644494482561,0.468753409485208,0.96556534279626,10162,"12"
"2950","MAN1A2",-0.0649421803879578,0.325658663982029,-0.73256921099932,0.468798747156413,0.96556534279626,10905,"1"
"2951","DYNLL1",0.0966176574515683,2.44574105051679,0.732177651357794,0.469034595411755,0.96556534279626,8655,"12"
"2952","WDFY3",0.0587181113311814,-1.27513243704984,0.732152502158376,0.469049745879974,0.96556534279626,23001,"4"
"2953","NRAS",-0.0910661711969607,-0.518533570293836,-0.731873767777947,0.469217680943094,0.96556534279626,4893,"1"
"2954","RALB",-0.0822818045815805,0.564019200229235,-0.731464928013569,0.469464066187334,0.96556534279626,5899,"2"
